proposed_key	source_kind	file:line	english_label	note
apptexts_settings	AppTexts	app/config/app_text.dart:3	Settings	key=settings
apptexts_security	AppTexts	app/config/app_text.dart:4	Security	key=security
apptexts_ui	AppTexts	app/config/app_text.dart:5	Ui	key=ui
apptexts_data	AppTexts	app/config/app_text.dart:6	Data	key=data
apptexts_hashtag_groups	AppTexts	app/config/app_text.dart:7	Hashtag Groups	key=hashTagGroups
apptexts_contact_groups	AppTexts	app/config/app_text.dart:8	Contact Groups	key=contactGroups
apptexts_places	AppTexts	app/config/app_text.dart:9	Places	key=places
apptexts_feedback	AppTexts	app/config/app_text.dart:10	Feedback	key=feedBack
apptexts_active_phone_verification_pin	AppTexts	app/config/app_text.dart:13	Active phone verification pin	key=activePhoneVerification
apptexts_language	AppTexts	app/config/app_text.dart:16	Language	key=language
apptexts_english	AppTexts	app/config/app_text.dart:17	(English)	key=eng
apptexts_dark_mode	AppTexts	app/config/app_text.dart:18	Dark Mode	key=darkMode
apptexts_main_color	AppTexts	app/config/app_text.dart:19	Main Color	key=mainColor
apptexts_blue	AppTexts	app/config/app_text.dart:20	(blue)	key=blue
apptexts_upload_gps_points	AppTexts	app/config/app_text.dart:23	Upload GPS Points	key=uploadGPS
apptexts_upload_media_with_gps	AppTexts	app/config/app_text.dart:24	Upload Media with GPS	key=uploadMedia
apptexts_backup_memories	AppTexts	app/config/app_text.dart:25	Backup Memories	key=backupMemories
apptexts_upload_memories	AppTexts	app/config/app_text.dart:26	Upload Memories	key=uploadMemories
apptexts_erase_all_data	AppTexts	app/config/app_text.dart:27	Erase All Data	key=eraseAllData
apptexts_sport	AppTexts	app/config/app_text.dart:30	Sport	key=sport
apptexts_exercise	AppTexts	app/config/app_text.dart:31	Exercise	key=exercise
apptexts_family	AppTexts	app/config/app_text.dart:34	Family	key=family
apptexts_homes	AppTexts	app/config/app_text.dart:35	Homes	key=homes
apptexts_discourse_integration_webview	AppTexts	app/config/app_text.dart:38	Discourse integration (webview)	key=discoverIntegration
apptexts_https_discourse_org	AppTexts	app/config/app_text.dart:39	https://discourse.org/	key=web
supported_language_english	supported_language	app/config/supported_languages.dart:14	English	code=en
supported_language_espa_ol	supported_language	app/config/supported_languages.dart:15	Español	code=es
supported_language_fran_ais	supported_language	app/config/supported_languages.dart:16	Français	code=fr
